latency_budget_ms,peak_memory_budget_bytes,method,selected_count,risk_reduction,risk_reduction_std,residual_failure_probability,mitigation_ratio,used_latency_ms,used_peak_extra_memory_bytes
5.0,4194304,greedy,16,0.012344488477121765,0.0,0.015470994998630192,0.44379916990776114,4.954265247478814,3211264
5.0,4194304,topk_dmr_compare_rerun,6,0.00402213428111572,0.0,0.023793349194636236,0.1446005525887048,4.956255847,3211264
5.0,4194304,topk_range_guard_rerun,9,0.01061604780510906,0.0,0.017199435670642898,0.38165965421250214,4.999132346528571,0
5.0,4194304,random_dmr_mean,5,0.0016086087929109163,0.0007923885349651347,0.026206874682841042,0.05783141588436581,4.977446886999999,3211264
10.0,4194304,ilp,26,0.016685947932129415,0.0,0.011129535543622542,0.5998798455786443,9.938522177832272,3211264
10.0,4194304,greedy,29,0.01653810770716204,0.0,0.011277375768589917,0.5945648121334678,9.953292753070693,3211264
10.0,4194304,topk_dmr_compare_rerun,8,0.005832087944099142,0.0,0.021983395531652815,0.20967055809701252,9.982841402999998,3211264
10.0,4194304,topk_range_guard_rerun,20,0.013594039063840536,0.0,0.014221444411911421,0.4887220125327352,7.862372149717202,0
10.0,4194304,random_dmr_mean,8,0.0022848284938002646,0.0009541961072967776,0.025530654981951693,0.08214232536321202,9.986090478,3211264
20.0,4194304,ilp,34,0.019302432812569582,0.0,0.008513050663182375,0.6939456159155531,19.80275621375958,3211264
20.0,4194304,greedy,37,0.01844861435142232,0.0,0.009366869124329637,0.6632498179477927,19.75969941707069,3211264
20.0,4194304,topk_dmr_compare_rerun,16,0.01005531315772713,0.0,0.017760170318024827,0.3615005709497306,19.998032323,3211264
20.0,4194304,topk_range_guard_rerun,20,0.013594039063840536,0.0,0.014221444411911421,0.4887220125327352,7.862372149717202,0
20.0,4194304,random_dmr_mean,17,0.003678240229440992,0.0010845677018893776,0.024137243246310964,0.13223714887600224,19.975570937,3211264
40.0,4194304,ilp,42,0.021512339896014948,0.0,0.006303143579737009,0.7733944266964926,39.47629003111269,3211264
40.0,4194304,greedy,49,0.019818648721319488,0.0,0.00799683475443247,0.7125041971172753,39.6305124440707,3211264
40.0,4194304,topk_dmr_compare_rerun,33,0.013373561539863407,0.0,0.01444192193588855,0.48079558104829484,39.711254727000004,3211264
40.0,4194304,topk_range_guard_rerun,20,0.013594039063840536,0.0,0.014221444411911421,0.4887220125327352,7.862372149717202,0
40.0,4194304,random_dmr_mean,30,0.0067678582243044004,0.0012808835941425436,0.021047625251447558,0.24331262227400272,39.92501348799999,3211264
1.0,8388608,ilp,2,0.004263297407808161,0.0,0.023552186067943796,0.15327065630639403,0.9921096258715637,0
1.0,8388608,greedy,6,0.003062988463046053,0.0,0.024752495012705905,0.11011810978285534,0.9954719513581876,1605632
1.0,8388608,topk_dmr_compare_rerun,2,0.0017094006817065658,0.0,0.02610608279404539,0.061455005202290636,0.994606044,3211264
1.0,8388608,topk_range_guard_rerun,2,0.004263297407808161,0.0,0.023552186067943796,0.15327065630639403,0.9921096258715637,0
1.0,8388608,random_dmr_mean,5,0.0011729616488252042,0.0005791244885782527,0.02664252182692675,0.04216937842722486,0.9474789410000001,1605632
2.0,8388608,ilp,6,0.0073484636203403775,0.0,0.020467019855411578,0.26418608278897515,1.9705955741332195,3211264
2.0,8388608,greedy,8,0.007326285870854213,0.0,0.020489197604897744,0.2633887660892493,1.9875815772297512,1605632
2.0,8388608,topk_dmr_compare_rerun,2,0.002815498505793438,0.0,0.02499998496995852,0.10122054891649962,1.968350958,6422528
2.0,8388608,topk_range_guard_rerun,4,0.0071572684494184404,0.0,0.020658215026333516,0.2573123870256565,1.973150541062444,0
2.0,8388608,random_dmr_mean,5,0.0013813589049248053,0.0006985813491338338,0.026434124570827153,0.049661509789286955,1.94094483,6422528
5.0,8388608,ilp,12,0.01262002234368877,0.0,0.015195461132063187,0.4537049429570486,4.992836741808019,6422528
5.0,8388608,greedy,12,0.01256293555280556,0.0,0.015252547922946396,0.45165260434021404,4.943545106268039,6422528
5.0,8388608,topk_dmr_compare_rerun,4,0.006033193906652856,0.0,0.0217822895690991,0.2169005587090467,4.982680524,6422528
5.0,8388608,topk_range_guard_rerun,9,0.01061604780510906,0.0,0.017199435670642898,0.38165965421250214,4.999132346528571,0
5.0,8388608,random_dmr_mean,5,0.0019257280582136325,0.0010900035363477964,0.025889755417538324,0.06923223390642765,4.987670495,6422528
10.0,8388608,ilp,23,0.01784795063813719,0.0,0.009967532837614767,0.6416552368646072,9.944397389998397,6422528
10.0,8388608,greedy,26,0.017751417516908907,0.0,0.01006406595884305,0.6381847553497906,9.961967328912834,6422528
10.0,8388608,topk_dmr_compare_rerun,6,0.011463054895603128,0.0,0.016352428580148827,0.4121105752339701,9.982248824000001,6422528
10.0,8388608,topk_range_guard_rerun,20,0.013594039063840536,0.0,0.014221444411911421,0.4887220125327352,7.862372149717202,0
10.0,8388608,random_dmr_mean,7,0.002999131133344079,0.0016012177894089363,0.02481635234240788,0.10782236217316016,9.997152282999998,6422528
20.0,8388608,ilp,31,0.022553950337049013,0.0,0.005261533138702944,0.8108415716271958,19.708873409700537,6422528
20.0,8388608,greedy,37,0.020417087103804823,0.0,0.007398396371947134,0.7340187748885739,19.971764478725518,6422528
20.0,8388608,topk_dmr_compare_rerun,13,0.018702869547536822,0.0,0.009112613928215135,0.6723905972672011,19.965873872000003,6422528
20.0,8388608,topk_range_guard_rerun,20,0.013594039063840536,0.0,0.014221444411911421,0.4887220125327352,7.862372149717202,0
20.0,8388608,random_dmr_mean,19,0.005254660194610573,0.0021532940024868597,0.022560823281141385,0.18891133778750613,19.910407688999996,6422528
40.0,8388608,ilp,40,0.025950679919071833,0.0,0.0018648035566801238,0.9329580750122226,39.261076872785324,6422528
40.0,8388608,greedy,47,0.022076211294872954,0.0,0.005739272180879003,0.7936662799378558,39.99493669272552,6422528
40.0,8388608,topk_dmr_compare_rerun,31,0.025138260349255658,0.0,0.002677223126496299,0.9037506168522953,39.96057058300001,6422528
40.0,8388608,topk_range_guard_rerun,20,0.013594039063840536,0.0,0.014221444411911421,0.4887220125327352,7.862372149717202,0
40.0,8388608,random_dmr_mean,31,0.010184271304111793,0.002965941252753079,0.017631212171640164,0.3661367710178359,39.966920691000006,6422528
