repeat,spearman_vs_full,highest_risk_node,top5_jaccard_vs_full,top5_overlap_vs_full,top10_jaccard_vs_full,top10_overlap_vs_full,top20_jaccard_vs_full,top20_overlap_vs_full
24,0.8417786413596354,35,0.1111111111111111,0.2,0.1111111111111111,0.2,0.42857142857142855,0.6
25,0.8827508087508352,36,0.25,0.4,0.17647058823529413,0.3,0.6,0.75
26,0.8211825159788527,43,0.25,0.4,0.3333333333333333,0.5,0.42857142857142855,0.6
27,0.8157781785843864,157,0.25,0.4,0.25,0.4,0.3333333333333333,0.5
28,0.901570640484998,157,0.6666666666666666,0.8,0.6666666666666666,0.8,0.48148148148148145,0.65
29,0.9341949302540169,157,0.42857142857142855,0.6,0.3333333333333333,0.5,0.42857142857142855,0.6
30,0.8019678142783085,119,0.25,0.4,0.25,0.4,0.3793103448275862,0.55
31,0.869866516025148,157,0.25,0.4,0.25,0.4,0.42857142857142855,0.6
32,0.8336391090376246,62,0.25,0.4,0.5384615384615384,0.7,0.42857142857142855,0.6
33,0.9056193039115613,157,0.25,0.4,0.42857142857142855,0.6,0.6,0.75
34,0.8720970118010756,43,0.25,0.4,0.3333333333333333,0.5,0.48148148148148145,0.65
35,0.7798659622737466,27,0.1111111111111111,0.2,0.1111111111111111,0.2,0.3793103448275862,0.55
36,0.7775715966904646,62,0.25,0.4,0.25,0.4,0.3793103448275862,0.55
37,0.8401548378142376,62,0.1111111111111111,0.2,0.3333333333333333,0.5,0.5384615384615384,0.7
38,0.8774815171124767,157,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6,0.75
39,0.7956552923813173,62,0.25,0.4,0.25,0.4,0.42857142857142855,0.6
40,0.8769020927750641,157,0.25,0.4,0.3333333333333333,0.5,0.6,0.75
41,0.8334371086582112,42,0.1111111111111111,0.2,0.17647058823529413,0.3,0.3333333333333333,0.5
42,0.8352294086464171,115,0.1111111111111111,0.2,0.42857142857142855,0.6,0.6,0.75
43,0.854423037410504,157,0.42857142857142855,0.6,0.3333333333333333,0.5,0.6,0.75
44,0.8965226955011553,157,0.1111111111111111,0.2,0.42857142857142855,0.6,0.42857142857142855,0.6
45,0.7634849289340104,157,0.1111111111111111,0.2,0.25,0.4,0.42857142857142855,0.6
46,0.9095248077556981,157,0.25,0.4,0.25,0.4,0.48148148148148145,0.65
47,0.8957502345959216,157,0.25,0.4,0.3333333333333333,0.5,0.42857142857142855,0.6
48,0.8314665528774228,157,0.25,0.4,0.25,0.4,0.42857142857142855,0.6
49,0.8449187962741821,157,0.25,0.4,0.5384615384615384,0.7,0.48148148148148145,0.65
50,0.8475104696200911,27,0.42857142857142855,0.6,0.3333333333333333,0.5,0.42857142857142855,0.6
51,0.9082634791115358,157,0.6666666666666666,0.8,0.42857142857142855,0.6,0.5384615384615384,0.7
52,0.8577440247655695,134,0.1111111111111111,0.2,0.25,0.4,0.42857142857142855,0.6
53,0.8631894307842959,62,0.25,0.4,0.42857142857142855,0.6,0.5384615384615384,0.7
