repeat,spearman_vs_full,highest_risk_node,top5_jaccard_vs_full,top5_overlap_vs_full,top10_jaccard_vs_full,top10_overlap_vs_full,top20_jaccard_vs_full,top20_overlap_vs_full
60,0.8055169894044575,0,0.6666666666666666,0.8,0.6666666666666666,0.8,0.6,0.75
61,0.693569601753745,0,0.42857142857142855,0.6,0.5384615384615384,0.7,0.42857142857142855,0.6
62,0.8581293386919985,0,0.42857142857142855,0.6,0.5384615384615384,0.7,0.5384615384615384,0.7
63,0.7792838874680309,0,0.25,0.4,0.42857142857142855,0.6,0.42857142857142855,0.6
64,0.745853123858239,0,0.25,0.4,0.5384615384615384,0.7,0.6,0.75
65,0.8625137011326272,58,0.42857142857142855,0.6,0.3333333333333333,0.5,0.6,0.75
66,0.8217756667884546,0,0.25,0.4,0.5384615384615384,0.7,0.6666666666666666,0.8
67,0.7884179758860067,0,0.25,0.4,0.5384615384615384,0.7,0.6,0.75
68,0.7766167336499817,0,0.6666666666666666,0.8,0.42857142857142855,0.6,0.6,0.75
69,0.7514797223237121,0,0.1111111111111111,0.2,0.42857142857142855,0.6,0.5384615384615384,0.7
70,0.7285714285714286,0,0.42857142857142855,0.6,0.5384615384615384,0.7,0.48148148148148145,0.65
71,0.800438436244063,0,0.6666666666666666,0.8,0.42857142857142855,0.6,0.5384615384615384,0.7
72,0.8457800511508952,0,0.25,0.4,0.42857142857142855,0.6,0.48148148148148145,0.65
73,0.8601023017902815,0,0.25,0.4,0.25,0.4,0.6,0.75
74,0.8384727804165146,0,0.25,0.4,0.5384615384615384,0.7,0.6,0.75
75,0.8756302521008404,0,0.42857142857142855,0.6,0.5384615384615384,0.7,0.6666666666666666,0.8
76,0.7802703690171722,0,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6,0.75
77,0.8346729996346365,0,0.42857142857142855,0.6,0.5384615384615384,0.7,0.48148148148148145,0.65
78,0.7947753014249178,0,0.1111111111111111,0.2,0.3333333333333333,0.5,0.48148148148148145,0.65
79,0.8286810376324444,0,0.42857142857142855,0.6,0.42857142857142855,0.6,0.5384615384615384,0.7
80,0.8392765801972963,0,0.25,0.4,0.3333333333333333,0.5,0.6,0.75
81,0.8638290098648157,63,0.25,0.4,0.42857142857142855,0.6,0.6,0.75
82,0.8309828279137743,0,0.42857142857142855,0.6,0.42857142857142855,0.6,0.48148148148148145,0.65
83,0.7999269272926562,54,0.42857142857142855,0.6,0.5384615384615384,0.7,0.42857142857142855,0.6
84,0.8232005845816587,0,0.6666666666666666,0.8,0.42857142857142855,0.6,0.48148148148148145,0.65
85,0.8618195104128609,0,0.42857142857142855,0.6,0.5384615384615384,0.7,0.6,0.75
86,0.7660942637924737,0,0.42857142857142855,0.6,0.5384615384615384,0.7,0.5384615384615384,0.7
87,0.8351479722323712,0,0.42857142857142855,0.6,0.6666666666666666,0.8,0.5384615384615384,0.7
88,0.7031786627694556,0,0.42857142857142855,0.6,0.6666666666666666,0.8,0.5384615384615384,0.7
89,0.8069053708439897,0,0.25,0.4,0.5384615384615384,0.7,0.6,0.75
90,0.7876507124588966,0,0.42857142857142855,0.6,0.42857142857142855,0.6,0.42857142857142855,0.6
91,0.8051881622214104,63,0.25,0.4,0.5384615384615384,0.7,0.5384615384615384,0.7
92,0.7871026671538182,0,0.42857142857142855,0.6,0.5384615384615384,0.7,0.3793103448275862,0.55
93,0.7759956156375594,0,0.42857142857142855,0.6,0.42857142857142855,0.6,0.48148148148148145,0.65
94,0.81899890390939,0,0.42857142857142855,0.6,0.6666666666666666,0.8,0.6666666666666666,0.8
95,0.7853123858238948,0,0.42857142857142855,0.6,0.8181818181818182,0.9,0.5384615384615384,0.7
96,0.8290829375228352,0,0.6666666666666666,0.8,0.5384615384615384,0.7,0.48148148148148145,0.65
97,0.7874680306905372,0,0.42857142857142855,0.6,0.42857142857142855,0.6,0.48148148148148145,0.65
98,0.7956521739130435,0,0.25,0.4,0.6666666666666666,0.8,0.6,0.75
99,0.8122396784800879,0,0.25,0.4,0.25,0.4,0.48148148148148145,0.65
100,0.8563390573620754,0,0.6666666666666666,0.8,0.5384615384615384,0.7,0.8181818181818182,0.9
101,0.8584216295213738,0,0.6666666666666666,0.8,0.5384615384615384,0.7,0.48148148148148145,0.65
102,0.8586043112897332,0,0.42857142857142855,0.6,0.42857142857142855,0.6,0.7391304347826086,0.85
103,0.836390208257216,0,0.25,0.4,0.6666666666666666,0.8,0.42857142857142855,0.6
104,0.8327365728900257,0,0.25,0.4,0.5384615384615384,0.7,0.5384615384615384,0.7
105,0.8370843989769823,0,0.25,0.4,0.5384615384615384,0.7,0.5384615384615384,0.7
106,0.871611253196931,0,0.42857142857142855,0.6,0.5384615384615384,0.7,0.7391304347826086,0.85
107,0.7728169528681038,0,0.6666666666666666,0.8,0.42857142857142855,0.6,0.48148148148148145,0.65
108,0.7949579831932774,0,0.25,0.4,0.6666666666666666,0.8,0.5384615384615384,0.7
109,0.8067226890756303,0,0.25,0.4,0.42857142857142855,0.6,0.5384615384615384,0.7
110,0.8474607234198029,0,0.6666666666666666,0.8,0.5384615384615384,0.7,0.48148148148148145,0.65
111,0.8062477164778956,58,0.25,0.4,0.42857142857142855,0.6,0.7391304347826086,0.85
112,0.8111435878699307,0,0.6666666666666666,0.8,0.42857142857142855,0.6,0.6,0.75
113,0.7729630982827914,0,0.25,0.4,0.25,0.4,0.6,0.75
114,0.8579466569236391,0,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6666666666666666,0.8
115,0.8206795761782976,58,0.42857142857142855,0.6,0.5384615384615384,0.7,0.6,0.75
116,0.8917062477164781,0,0.42857142857142855,0.6,0.6666666666666666,0.8,0.7391304347826086,0.85
117,0.7847643405188164,0,0.25,0.4,0.42857142857142855,0.6,0.5384615384615384,0.7
118,0.7882352941176471,0,0.42857142857142855,0.6,0.5384615384615384,0.7,0.5384615384615384,0.7
119,0.7957252466203873,0,0.42857142857142855,0.6,0.42857142857142855,0.6,0.48148148148148145,0.65
120,0.8348191450493242,0,0.6666666666666666,0.8,0.42857142857142855,0.6,0.6,0.75
121,0.8141761052246985,33,0.42857142857142855,0.6,0.6666666666666666,0.8,0.7391304347826086,0.85
122,0.78713920350749,0,0.42857142857142855,0.6,0.8181818181818182,0.9,0.7391304347826086,0.85
123,0.7914139568871028,0,0.6666666666666666,0.8,0.42857142857142855,0.6,0.5384615384615384,0.7
124,0.7994884910485934,0,0.42857142857142855,0.6,0.6666666666666666,0.8,0.6666666666666666,0.8
125,0.9100474972597737,0,0.42857142857142855,0.6,0.6666666666666666,0.8,0.7391304347826086,0.85
126,0.8371574716843261,0,0.42857142857142855,0.6,0.6666666666666666,0.8,0.5384615384615384,0.7
127,0.8780781877968581,0,0.6666666666666666,0.8,0.5384615384615384,0.7,0.6666666666666666,0.8
128,0.7722689075630252,0,0.6666666666666666,0.8,0.5384615384615384,0.7,0.5384615384615384,0.7
129,0.8647424187066133,0,0.42857142857142855,0.6,0.8181818181818182,0.9,0.7391304347826086,0.85
130,0.7266715381804897,0,0.6666666666666666,0.8,0.6666666666666666,0.8,0.5384615384615384,0.7
131,0.8283887468030692,0,0.42857142857142855,0.6,0.6666666666666666,0.8,0.6666666666666666,0.8
132,0.8222141030325174,0,0.42857142857142855,0.6,0.5384615384615384,0.7,0.6666666666666666,0.8
133,0.7850566313481916,0,0.25,0.4,0.3333333333333333,0.5,0.6,0.75
134,0.8507489952502741,0,0.42857142857142855,0.6,0.6666666666666666,0.8,0.5384615384615384,0.7
135,0.8489587139203508,0,0.42857142857142855,0.6,0.5384615384615384,0.7,0.7391304347826086,0.85
136,0.7819875776397516,58,0.42857142857142855,0.6,0.42857142857142855,0.6,0.48148148148148145,0.65
137,0.7648885641213008,0,0.42857142857142855,0.6,0.5384615384615384,0.7,0.5384615384615384,0.7
138,0.8757033248081842,0,0.6666666666666666,0.8,0.5384615384615384,0.7,0.48148148148148145,0.65
139,0.7476068688344905,58,0.42857142857142855,0.6,0.5384615384615384,0.7,0.48148148148148145,0.65
140,0.779539641943734,46,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6666666666666666,0.8
141,0.8038728534892219,0,0.25,0.4,0.5384615384615384,0.7,0.3793103448275862,0.55
142,0.8287906466934599,0,0.42857142857142855,0.6,0.5384615384615384,0.7,0.48148148148148145,0.65
143,0.7448301059554259,0,0.42857142857142855,0.6,0.42857142857142855,0.6,0.48148148148148145,0.65
144,0.8571793934965292,0,0.6666666666666666,0.8,0.3333333333333333,0.5,0.5384615384615384,0.7
145,0.7596638655462186,0,0.42857142857142855,0.6,0.42857142857142855,0.6,0.48148148148148145,0.65
146,0.8504932407745709,0,0.42857142857142855,0.6,0.5384615384615384,0.7,0.6,0.75
147,0.8003288271830472,46,0.25,0.4,0.5384615384615384,0.7,0.5384615384615384,0.7
148,0.7812203142126417,0,0.6666666666666666,0.8,0.42857142857142855,0.6,0.3793103448275862,0.55
149,0.7954329557910121,0,0.25,0.4,0.5384615384615384,0.7,0.6666666666666666,0.8
150,0.8513701132626964,0,0.42857142857142855,0.6,0.6666666666666666,0.8,0.48148148148148145,0.65
151,0.7871757398611618,0,0.42857142857142855,0.6,0.3333333333333333,0.5,0.5384615384615384,0.7
152,0.7967482645232007,0,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6666666666666666,0.8
153,0.8127146510778225,0,0.6666666666666666,0.8,0.42857142857142855,0.6,0.48148148148148145,0.65
154,0.786006576543661,0,0.42857142857142855,0.6,0.42857142857142855,0.6,0.48148148148148145,0.65
155,0.84241870661308,0,0.25,0.4,0.6666666666666666,0.8,0.5384615384615384,0.7
156,0.8088783339422726,0,0.25,0.4,0.42857142857142855,0.6,0.6,0.75
157,0.7874314943368652,8,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6,0.75
158,0.8394957983193277,0,0.6666666666666666,0.8,0.5384615384615384,0.7,0.6666666666666666,0.8
159,0.829229082937523,0,0.6666666666666666,0.8,0.5384615384615384,0.7,0.6,0.75
160,0.858385093167702,0,0.6666666666666666,0.8,0.5384615384615384,0.7,0.6666666666666666,0.8
161,0.8061381074168797,0,0.25,0.4,0.5384615384615384,0.7,0.48148148148148145,0.65
162,0.8056265984654731,0,0.42857142857142855,0.6,0.5384615384615384,0.7,0.5384615384615384,0.7
163,0.8291560102301792,63,0.25,0.4,0.42857142857142855,0.6,0.6,0.75
