latency_budget_ms,peak_memory_budget_bytes,method,selected_count,risk_reduction,risk_reduction_std,residual_failure_probability,mitigation_ratio,used_latency_ms,used_peak_extra_memory_bytes
32.0,0,greedy,0,0.0,0.0,0.024440665791713955,0.0,0.0,0
32.0,0,topk_dmr_compare_rerun,0,0.0,0.0,0.024440665791713955,0.0,0.0,0
32.0,0,random_dmr_mean,0,0.0,0.0,0.024440665791713955,0.0,0.0,0
2.0,1048576,ilp,12,0.0018230644627317443,0.0,0.02261760132898221,0.07459144027695892,1.9943012827337945,819200
2.0,1048576,greedy,18,0.0017384512154748394,0.0,0.022702214576239117,0.07112945409466796,1.9841128867513504,819200
2.0,1048576,topk_dmr_compare_rerun,12,0.001823064462731744,0.0,0.02261760132898221,0.07459144027695891,1.994301282733795,819200
2.0,1048576,random_dmr_mean,8,0.0011518855821982595,0.00032307749614186724,0.023288780209515695,0.04712987739428849,1.997965009215216,819200
4.0,1048576,ilp,19,0.0024574790720771856,0.0,0.02198318671963677,0.10054877772234573,3.966034537461756,819200
4.0,1048576,greedy,21,0.0024072284099508137,0.0,0.02203343738176314,0.09849275099399825,3.5345380701611555,819200
4.0,1048576,topk_dmr_compare_rerun,15,0.002391155587873629,0.0,0.022049510203840328,0.09783512479779889,3.9999813595102194,819200
4.0,1048576,random_dmr_mean,16,0.0015570130710839951,0.00036825205181912664,0.02288365272062996,0.0637058369994104,3.996640415047996,819200
8.0,1048576,ilp,24,0.003353123226447219,0.0,0.021087542565266737,0.1371944305864212,7.612869461283605,819200
8.0,1048576,greedy,24,0.003353123226447219,0.0,0.021087542565266737,0.1371944305864212,7.612869461283605,819200
8.0,1048576,topk_dmr_compare_rerun,16,0.003240798216988271,0.0,0.021199867574725684,0.13259860613482097,7.999571643021322,819200
8.0,1048576,random_dmr_mean,20,0.0025991305157491503,0.0003378530438294189,0.021841535275964805,0.10634450541974702,7.968660800712176,819200
16.0,1048576,ilp,29,0.004299018042943623,0.0,0.020141647748770333,0.17589611017884407,15.463046918895847,819200
16.0,1048576,greedy,29,0.004299018042943626,0.0,0.02014164774877033,0.17589611017884418,15.46304691889585,819200
16.0,1048576,topk_dmr_compare_rerun,29,0.004299018042943623,0.0,0.020141647748770333,0.17589611017884407,15.463046918895847,819200
16.0,1048576,random_dmr_mean,29,0.004299018042943624,8.630140327254253e-19,0.02014164774877033,0.17589611017884413,15.463046918895849,819200
24.0,1048576,ilp,29,0.004299018042943623,0.0,0.020141647748770333,0.17589611017884407,15.463046918895847,819200
24.0,1048576,greedy,29,0.004299018042943626,0.0,0.02014164774877033,0.17589611017884418,15.46304691889585,819200
24.0,1048576,topk_dmr_compare_rerun,29,0.004299018042943623,0.0,0.020141647748770333,0.17589611017884407,15.463046918895847,819200
24.0,1048576,random_dmr_mean,29,0.004299018042943624,8.630140327254253e-19,0.02014164774877033,0.17589611017884413,15.463046918895849,819200
32.0,1048576,ilp,29,0.004299018042943623,0.0,0.020141647748770333,0.17589611017884407,15.463046918895847,819200
32.0,1048576,greedy,29,0.004299018042943626,0.0,0.02014164774877033,0.17589611017884418,15.46304691889585,819200
32.0,1048576,topk_dmr_compare_rerun,29,0.004299018042943623,0.0,0.020141647748770333,0.17589611017884407,15.463046918895847,819200
32.0,1048576,random_dmr_mean,29,0.004299018042943624,8.630140327254253e-19,0.02014164774877033,0.17589611017884413,15.463046918895849,819200
2.0,4194304,ilp,18,0.004277033378263338,0.0,0.02016363241345062,0.17499659848519214,1.9954903062232299,2560000
2.0,4194304,greedy,20,0.004248767380817254,0.0,0.020191898410896702,0.1738400834504967,1.9556131814808893,2560000
2.0,4194304,topk_dmr_compare_rerun,8,0.0037096812334468407,0.0,0.020730984558267114,0.15178314965153375,1.9997953082805235,2560000
2.0,4194304,random_dmr_mean,16,0.0018014474407633371,0.000765585189704774,0.02263921835095062,0.07370697083767973,1.9889890090068192,1638400
4.0,4194304,ilp,19,0.005565260830495649,0.0,0.018875404961218305,0.2277049601644822,3.989702748273335,2560000
4.0,4194304,greedy,25,0.005478430642262581,0.0,0.018962235149451376,0.22415226692064652,3.998125694113542,2560000
4.0,4194304,topk_dmr_compare_rerun,19,0.005507250874952705,0.0,0.01893341491676125,0.22533145872072813,3.9787556203874095,3276800
4.0,4194304,random_dmr_mean,13,0.00244837113956678,0.0009722558614089172,0.021992294652147176,0.10017612287783273,3.9913176831165074,1638400
8.0,4194304,ilp,26,0.0072756307936057505,0.0,0.017165034998108203,0.2976854581462501,7.937411988868644,3276800
